Account ID,First Name,Last Name,Email,Country Code,Phone Number,Date of Birth,Address Line,Suburb,Postcode,City,Country,PIR %,WHT %,Tax Identification Number
1,James,Wilson,james.wilson@email.com,61,412345678,1985-01-18,14 Collins Street,CBD,3000,Melbourne,Australia,17.5%,,123456789
2,Sarah,Mitchell-brown,sarah.mb@outlook.com,64,219876543,1990-03-15,88 Shortland Street,CBD,1010,Auckland,New Zealand,28%,,98765432
3,Michael,Chen,mchen@apex.com,61,412345678,1978-06-22,Ste 100 Lvl 12 George Street,Sydney CBD,2000,Sydney,Australia,0%,,98765000000
4,Emma,Whyte,e.white@prometheus.com.au,61,412111222,1982-08-30,Unit 1 23 Market Street,Perth,6000,Perth,Australia,28%,,567890123
5,David,Brown,dbrown@zenith.com.au,61,412555666,1975-11-14,45 Queen Street,Brisbane CBD,4000,Brisbane,Australia,10.5%,,234567890
6,Jennifer,Li,j.lee@quasarinvest.com.au,61,412987654,1988-05-22,Po Box 1234,Adelaide,5000,Adelaide,Australia,17.5%,,123460000000
7,Thomas,Green,t.green@kestrel.com.au,61,412345678,1980-07-03,Level 3 42 Murray Street,,7000,Hobart,Australia,,,234567890
8,Richard,Kng,richard.king@veritasglobal.co.nz,64,211234567,1972-12-25,88 Shortland Street,Auckland CBD,1010,Auckland,New Zealand,10.5%,,12345678
9,Sophia,Anderson,sophia@gryphon.co.nz,64,219876543,1995-08-09,Level 10 22 Fanshawe Street,,,Auckland,New Zealand,,,987654
10,Dan,Moore,d.moore@orionstrategy.com.au,61,412111222,1983-04-19,Unit 7/88 Pitt Street,Sydney,2000,Sydney,Australia,17.5%,,456789012
11,Oliver,Wang,o.wang@indigo.com.au,61,434111222,1991-02-14,320 Adelaide Street,,4000,Brisbane,Australia,17.5%,,789012345
12,Carlos,Rodriguez,carlos@alhambra.com.au,61,412666777,1970-07-28,789 Spencer Street,,3000,Melbourne,Australia,17.5%,,890123456
13,Edward,Sutherland,edward@aethelred.com.au,61,434567890,1965-11-30,56 Elizabeth Street,,2000,Sydney,Australia,17.5%,,678901234
14,Victoria,Sutherland,victoria@aethelred.com.au,61,445678901,1968-11-30,56 Elizabeth Street,Sydney CBD,2000,Sydney,Australia,17.5%,,678901234
15,Alex,Turner,alex@synapse.com.au,61,411222333,1993-06-17,Unit 4/12 Park Avenue,,2600,Canberra,Australia,17.5%,,345678901
16,Mark,Johnson,m.johnson@gryphon.co.nz,64,212345678,1988-05-10,Level 10 22 Fanshawe Street,,,Auckland,New Zealand,28%,,111222
17,Amanda,Davis,NOT AVAILABLE,61,423987654,1986-12-09,400 Collins Street,,3000,Melbourne,Australia,,,901234567
18,NOT AVAILABLE,Chen,mike.chen@personal.com,61,499888777,1978-06-22,Home Address Unknown,,,Sydney,Australia,0%,,
19,Jessica,NOT AVAILABLE,jessica.adams@orion.com,61,434567890,NOT AVAILABLE,Building A Level 5,,2000,Sydney,Australia,17.5%,,222333444
20,Peter,Harris,peter@quasar.com.au,61,423123456,1979-08-14,Po Box 1234,,5000,Adelaide,Australia,17.5%,,333444555
21,Helen,Wu,helen@indigo.com.au,61,445222333,NOT AVAILABLE,320 Adelaide Street,,4000,Brisbane,Australia,17.5%,,444555666
22,Rachel,Green,r.green@zenith.com.au,61,423555666,1980-03-25,45 Queen Street,Brisbane,4000,Brisbane,Australia,,,555666777
23,William,Gray,w.gray@kestrel.com.au,61,423456789,1977-11-11,Level 3 42 Murray Street,,7000,Hobart,Australia,,,666777888
24,Robert,Black,robert@prometheus.com.au,61,423456789,1979-03-12,1/23 Market Street,,6000,Perth,Australia,28%,,777888999
25,Maria,Garcia,NOT AVAILABLE,61,423777888,1975-04-15,789 Spencer Street,Melbourne,3000,Melbourne,Australia,17.5%,,888999000
26,Jamie,Wilson,jamie@synapse.com.au,61,422333444,1990-08-21,Unit 4/12 Park Avenue,,2600,Canberra,Australia,17.5%,,999000111
27,Sarah,King,s.king@veritas.co.nz,64,222345678,1974-06-18,88 Shortland Street,,,Auckland,New Zealand,10.5%,,22345678
28,Catherine,Brown,c.brown@veritas.co.nz,64,221234567,1982-03-07,88 Shortland Street,Auckland,1010,Auckland,New Zealand,10.5%,,33456789
29,Linda,Taylor,NOT AVAILABLE,61,8520,1984-01-29,Suite 100 Level 12,,2000,Sydney,Australia,0%,,000111222
