#,First Name,Last_Name,Email,PHONE,Date of Birth,Address,Suburb,Postcode,City,Country,TAX RATE,TAX ID,Amount Invested,Notes
1,James,Wilson,james.wilson@email.com,61 412 345 678,1985-01-18 00:00:00,14 Collins Street,CBD,3000,Melbourne,Australia,0.175,123-456-789,"$150,000.00",Key client
2,James,Wilson,j.wilson@gmail.com,412345678,1985-01-18 00:00:00,14 Collins St,Melbourne CBD,3000,Melbourne,AU,17.5,123456789,"$200,000.00",
3,Sarah,Mitchell-Brown,sarah.mb@outlook.com,64 21 987 6543,03/15/1990,88 Shortland Street,,1010,Auckland,New Zealand,0.28,IRD-98-765-432,"$75,000.00",NZ resident
4,,,sarahmb@outlook.com,(021) 987-6543,1990-03-15 00:00:00,88 Shortland St,CBD,1010,Auckland,NZ,0.28,98765432,"$75,000",
5,Michael,Chen,mchen@apex.com,412 345 678,1978-06-22 00:00:00,Suite 100 Level 12 George St,,2000,Sydney,Australia,0,98-765-432-109,"$500,000.00",VIP
6,MICHAEL,CHEN,MCHEN@APEX.COM,61 (0)412 345 678,1978-06-22 00:00:00,Ste 100 Lvl 12 George Street,Sydney CBD,2000,SYDNEY,AUSTRALIA,0,98765000000,"$350,000.00",DUPLICATE?
7,Emma,White,,61 412 111 222,1982-08-30 00:00:00,1/23 Market Street,,6000,,Australia,,567-890-123,"$180,000.00",
8,Emma,Whyte,e.white@prometheus.com.au,0412-111-222,1982-08-30 00:00:00,Unit 1 23 Market St,Perth,6000,Perth,WA,28,567890123,"$180,000",typo in name?
9,David,Brown,dbrown@zenith.com.au,61412555666,1975-11-14 00:00:00,45 Queen Street,,4000,Brisbane,Australia,0.105,234-567-890,"$220,000.00",
10,David,Browne,david.brown@zenitham.com.au,0412 555 666,1975-11-14 00:00:00,45 Queen St,Brisbane CBD,4000,Brisbane,QLD,,234567890,"$180,000.00",
11,Jennifer,Lee,jlee@quasar.com.au,412987654,1988-05-22 00:00:00,PO BOX 1234,,5000,Adelaide,Australia,0.175,123-456-789-012,"$95,000.00",
12,Jennifer,Li,j.lee@quasarinvest.com.au,61 412 987 654,1988-05-22 00:00:00,P.O. Box 1234,Adelaide,5000,Adelaide,SA,17.5,123460000000,"$95,000",same person as #11?
13,Thomas,Green,t.green@kestrel.com.au,61412345678,1980-03-07 00:00:00,Level 3 42 Murray St,,7000,Hobart,Australia,,234-567-890,"$150,000.00",
14,Richard,King,,64 21 123 4567,1972-12-25 00:00:00,88 Shortland Street,,1010,Auckland,New Zealand,0.105,IRD-12-345-678,"$300,000.00",
15,Richard,kng,richard.king@veritasglobal.co.nz,6421-123-4567,1972-12-25 00:00:00,88 Shortland St,Auckland CBD,,Auckland,NZ,10.5,IRD12345678,"$250,000.00",
16,Sophia,Anderson,sophia@gryphon.co.nz,(021) 987 6543,1995-09-08 00:00:00,Level 10 22 Fanshawe St,,,Auckland,New Zealand,,NZ-987-654,"$120,000.00",
